,display_name,name,start_date,end_date,type
AG2003.XSGE,白银2003,ag2003,2019-03-18,2020-03-16,futures
AG2004.XSGE,白银2004,ag2004,2019-04-16,2020-04-15,futures
AG2005.XSGE,白银2005,ag2005,2019-05-16,2020-05-15,futures
AG2006.XSGE,白银2006,ag2006,2019-06-18,2020-06-15,futures
AG2007.XSGE,白银2007,ag2007,2019-07-16,2020-07-15,futures
AG2008.XSGE,白银2008,ag2008,2019-08-16,2020-08-17,futures
AG2009.XSGE,白银2009,ag2009,2019-09-17,2020-09-15,futures
AG2010.XSGE,白银2010,ag2010,2019-10-16,2020-10-15,futures
AG2011.XSGE,白银2011,ag2011,2019-11-18,2020-11-16,futures
AG2012.XSGE,白银2012,ag2012,2019-12-17,2020-12-15,futures
AG2101.XSGE,白银2101,ag2101,2020-01-16,2021-01-15,futures
AG2102.XSGE,白银2102,ag2102,2020-02-18,2021-02-05,futures
AG2103.XSGE,白银2103,ag2103,2020-03-17,2021-03-15,futures
AG2104.XSGE,白银2104,ag2104,2020-04-16,2021-04-15,futures
AG2105.XSGE,白银2105,ag2105,2020-05-18,2021-05-17,futures
AG2106.XSGE,白银2106,ag2106,2020-06-16,2021-06-15,futures
AG2107.XSGE,白银2107,ag2107,2020-07-16,2021-07-15,futures
AG2108.XSGE,白银2108,ag2108,2020-08-18,2021-08-16,futures
AG2109.XSGE,白银2109,ag2109,2020-09-16,2021-09-15,futures
AG2110.XSGE,白银2110,ag2110,2020-10-16,2021-10-15,futures
AG2111.XSGE,白银2111,ag2111,2020-11-17,2021-11-15,futures
AG2112.XSGE,白银2112,ag2112,2020-12-16,2021-12-15,futures
AG2201.XSGE,白银2201,ag2201,2021-01-18,2022-01-17,futures
AG2202.XSGE,白银2202,ag2202,2021-02-08,2022-02-15,futures
AG2203.XSGE,白银2203,ag2203,2021-03-16,2022-03-15,futures
AG2204.XSGE,白银2204,ag2204,2021-04-16,2022-04-15,futures
AG2205.XSGE,白银2205,ag2205,2021-05-18,2022-05-16,futures
AG2206.XSGE,白银2206,ag2206,2021-06-16,2022-06-15,futures
AG2207.XSGE,白银2207,ag2207,2021-07-16,2022-07-15,futures
AG2208.XSGE,白银2208,ag2208,2021-08-17,2022-08-15,futures
AG2209.XSGE,白银2209,ag2209,2021-09-16,2022-09-15,futures
AG2210.XSGE,白银2210,ag2210,2021-10-18,2022-10-17,futures
AG2211.XSGE,白银2211,ag2211,2021-11-16,2022-11-15,futures
AG2212.XSGE,白银2212,ag2212,2021-12-16,2022-12-15,futures
AG2301.XSGE,白银2301,ag2301,2022-01-18,2023-01-16,futures
AG2302.XSGE,白银2302,ag2302,2022-02-16,2023-02-15,futures
AG2303.XSGE,白银2303,ag2303,2022-03-16,2023-03-15,futures
AG2304.XSGE,白银2304,ag2304,2022-04-18,2023-04-17,futures
AG2305.XSGE,白银2305,ag2305,2022-05-17,2023-05-15,futures
AG2306.XSGE,白银2306,ag2306,2022-06-16,2023-06-15,futures
AG2307.XSGE,白银2307,ag2307,2022-07-18,2023-07-17,futures
AG2308.XSGE,白银2308,ag2308,2022-08-16,2023-08-15,futures
AG2309.XSGE,白银2309,ag2309,2022-09-16,2023-09-15,futures
AG2310.XSGE,白银2310,ag2310,2022-10-18,2023-10-16,futures
AG2311.XSGE,白银2311,ag2311,2022-11-16,2023-11-15,futures
AG2312.XSGE,白银2312,ag2312,2022-12-16,2023-12-15,futures
AG2401.XSGE,白银2401,ag2401,2023-01-17,2024-01-15,futures
AG2402.XSGE,白银2402,ag2402,2023-02-16,2024-02-19,futures
AG2403.XSGE,白银2403,ag2403,2023-03-16,2024-03-15,futures
AG2404.XSGE,白银2404,ag2404,2023-04-18,2024-04-15,futures
AG2405.XSGE,白银2405,ag2405,2023-05-16,2024-05-15,futures
AG2406.XSGE,白银2406,ag2406,2023-06-16,2024-06-17,futures
AG2407.XSGE,白银2407,ag2407,2023-07-18,2024-07-15,futures
AG2408.XSGE,白银2408,ag2408,2023-08-16,2024-08-15,futures
AG2409.XSGE,白银2409,ag2409,2023-09-18,2024-09-18,futures
AG2410.XSGE,白银2410,ag2410,2023-10-17,2024-10-15,futures
AG2411.XSGE,白银2411,ag2411,2023-11-16,2024-11-15,futures
AG2412.XSGE,白银2412,ag2412,2023-12-18,2024-12-16,futures
AG2501.XSGE,白银2501,ag2501,2024-01-16,2025-01-15,futures
AG2502.XSGE,白银2502,ag2502,2024-02-20,2025-02-17,futures
AG2503.XSGE,白银2503,ag2503,2024-03-18,2025-03-17,futures
AG2504.XSGE,白银2504,ag2504,2024-04-16,2025-04-15,futures
AG2505.XSGE,白银2505,ag2505,2024-05-16,2025-05-15,futures
AG2506.XSGE,白银2506,ag2506,2024-06-18,2025-06-16,futures
AG2507.XSGE,白银2507,ag2507,2024-07-16,2025-07-15,futures
AG8888.XSGE,白银期货指数,AG8888,2012-05-10,2030-01-01,futures
AG9999.XSGE,白银主力合约,AG9999,2012-05-10,2030-01-01,futures
AL0501.XSGE,铝0501,al0501,2004-01-16,2005-01-17,futures
AL0502.XSGE,铝0502,al0502,2004-02-17,2005-02-04,futures
AL0503.XSGE,铝0503,al0503,2004-03-16,2005-03-15,futures
AL0504.XSGE,铝0504,al0504,2004-04-16,2005-04-15,futures
AL0505.XSGE,铝0505,al0505,2004-05-18,2005-05-16,futures
