,display_name,name,start_date,end_date,type
159530.XSHE,机器人100ETF,JQR100ETF,2024-01-18,2200-01-01,etf
159531.XSHE,中证2000ETF,ZZ2000ETF,2023-09-18,2200-01-01,etf
159532.XSHE,中证2000指数ETF,ZZ2000ZSETF,2023-09-21,2200-01-01,etf
159533.XSHE,中证2000ETF基金,ZZ2000ETFJJ,2024-06-07,2200-01-01,etf
159535.XSHE,中证2000ETF指数,ZZ2000ETFZS,2023-09-22,2200-01-01,etf
159536.XSHE,中证2000ETF添富,ZZ2000ETFTF,2023-09-21,2200-01-01,etf
159537.XSHE,信创ETF,XCETF,2023-10-10,2200-01-01,etf
159538.XSHE,信创ETF富国,XCZSETF,2023-09-22,2200-01-01,etf
159539.XSHE,信创50ETF,XC50ETF,2023-09-28,2200-01-01,etf
159540.XSHE,信创ETF指数,XCETFZS,2023-09-28,2200-01-01,etf
159541.XSHE,创业板综ETF万家,CYBZETFWJ,2023-10-31,2200-01-01,etf
159542.XSHE,工程机械ETF,GCJXETF,2024-06-07,2200-01-01,etf
159543.XSHE,国证2000ETF基金,GZ2000ETFJJ,2023-11-20,2200-01-01,etf
159545.XSHE,恒生红利低波ETF,HSHLDBETF,2024-04-15,2200-01-01,etf
159546.XSHE,集成电路ETF,JCDLETF,2023-10-20,2200-01-01,etf
159547.XSHE,红利低波50ETF,HLDB50ETF,2024-02-06,2200-01-01,etf
159549.XSHE,红利低波动ETF,HLDBDETF,2023-12-11,2200-01-01,etf
159551.XSHE,机器人产业ETF,JQRCYETF,2023-11-16,2200-01-01,etf
159553.XSHE,2000ETF增强,2000ETFZQ,2024-04-15,2200-01-01,etf
159555.XSHE,2000增强ETF,2000ZQETF,2023-12-12,2200-01-01,etf
159556.XSHE,中证2000ETF增强,ZZ2000ETFZQ,2024-01-10,2200-01-01,etf
159557.XSHE,恒生医疗指数ETF,HSYLZSETF,2024-05-22,2200-01-01,etf
159558.XSHE,半导体材料设备ETF,BDTCLSBETF,2024-06-18,2200-01-01,etf
159559.XSHE,机器人ETF基金,JQRETFJJ,2023-12-12,2200-01-01,etf
159560.XSHE,芯片50ETF,XP50ETF,2023-11-20,2200-01-01,etf
159561.XSHE,德国ETF,DGETF,2024-04-30,2200-01-01,etf
159562.XSHE,黄金股ETF,HJGETF,2024-01-22,2200-01-01,etf
159563.XSHE,创业板综ETF华夏,CYBZETFHX,2024-02-23,2200-01-01,etf
159565.XSHE,汽车零部件ETF,QCLBJETF,2024-02-26,2200-01-01,etf
159566.XSHE,储能电池ETF,CNDCETF,2024-02-08,2200-01-01,etf
159567.XSHE,港股创新药ETF,GGCXYETF,2024-01-11,2200-01-01,etf
159568.XSHE,港股互联网ETF,GGHLWETF,2024-02-27,2200-01-01,etf
159570.XSHE,港股通创新药ETF,GGTCXYETF,2024-01-22,2200-01-01,etf
159571.XSHE,创业板200ETF富国,CYB200ETFFG,2024-01-02,2200-01-01,etf
159572.XSHE,创业板200ETF易方达,CYB200ETFYFD,2023-12-25,2200-01-01,etf
159573.XSHE,创业板200ETF华夏,CYB200ETFHX,2023-12-25,2200-01-01,etf
159575.XSHE,创业板200ETF银华,CYB200ETFYH,2024-01-02,2200-01-01,etf
159576.XSHE,深证100ETF广发,SZ100ETFGF,2024-01-03,2200-01-01,etf
159577.XSHE,美国50ETF,MG50ETF,2024-02-23,2200-01-01,etf
159578.XSHE,深证主板50ETF南方,SZZB50ETFNF,2024-06-07,2200-01-01,etf
159581.XSHE,红利ETF基金,HLETFJJ,2024-03-15,2200-01-01,etf
159582.XSHE,半导体产业ETF,BDTCYETF,2024-04-16,2200-01-01,etf
159586.XSHE,计算机ETF南方,JSJETFNF,2024-03-15,2200-01-01,etf
159588.XSHE,石油天然气ETF,SYTRQETF,2024-05-31,2200-01-01,etf
159589.XSHE,红利100ETF,HL100ETF,2024-03-26,2200-01-01,etf
