code,pe_ratio,pb_ratio,total_assets,net_profit,roe
000717.XSHE,-8.2881,0.6857,21247919663.48,-108022567.96,-1.2
000718.XSHE,31.5703,0.8252,15207941896.36,80071341.39,0.84
000719.XSHE,9.4151,0.9815,16236660943.93,221952029.58,2.13
000720.XSHE,-64.7855,2.0774,5264849993.27,-13779409.22,-0.6
000721.XSHE,-42.8673,13.1939,1593428749.27,-19931930.76,-3.98
000722.XSHE,178.4797,1.4001,3358987259.08,-455501.61,0.05
000723.XSHE,31.8801,1.9802,40095880957.73,28832902.26,0.22
000725.XSHE,44.7434,1.1419,415655512105.0,271586183.0,0.22
000726.XSHE,9.2804,0.6081,13476324424.6,110970549.35,1.22
000727.XSHE,42.4965,4.0874,37392555795.36,96738172.6,1.01
000728.XSHE,14.9061,0.8747,134950158991.92,512738152.03,1.51
000729.XSHE,38.255,1.7182,23985869710.42,547156333.36,3.15
000731.XSHE,9.9131,1.0282,5406281333.43,71665672.42,1.78
000733.XSHE,12.6076,2.3658,17835701228.67,528416820.03,4.32
000735.XSHE,-78.5795,1.5997,12663732134.67,-70147265.24,-1.26
000736.XSHE,-8.2667,3.0201,143886105587.83,-514498181.31,-18.63
000737.XSHE,18.0403,2.1465,12533199150.34,201649624.57,4.28
000738.XSHE,35.2498,2.2364,15743501968.82,146788395.0,1.26
000739.XSHE,15.3287,3.0165,12619685652.65,250270372.73,4.25
000750.XSHE,66.4578,1.2019,64694687553.59,22991847.73,0.01
000751.XSHE,45.6644,1.4834,8887316634.29,18825000.21,0.57
000753.XSHE,94.2667,1.5743,10009134955.91,28831418.11,0.63
000755.XSHE,14.6121,1.3679,12803374344.65,136724025.23,2.82
000756.XSHE,26.9757,3.0696,7921817083.48,124609326.2,2.77
000757.XSHE,-20.9982,1.5302,2842163762.71,-15180826.58,-0.9
000758.XSHE,207.1634,1.7263,19315232406.17,52556073.3,0.63
000759.XSHE,-12.0277,1.0897,12140453178.31,-60175132.96,-2.28
000761.XSHE,-6.6039,0.8816,46642832594.9,-229809678.93,-1.36
000762.XSHE,34.6353,4.8467,7375488177.21,146997620.12,2.9
000766.XSHE,579.8301,8.3163,4466267721.29,4547549.29,0.2
000767.XSHE,-10.884,1.3998,61701796664.65,-206605776.54,-1.34
000768.XSHE,92.8973,3.7203,80864509266.91,238417829.96,1.44
000776.XSHE,12.8049,0.9723,668917787667.25,1446535463.6,0.95
000777.XSHE,21.4984,2.9756,3160907496.55,61656941.39,3.34
000778.XSHE,10.9879,0.6044,56344391233.55,270032487.02,1.0
000779.XSHE,19.5534,1.7928,4502105597.89,60263057.95,2.15
000782.XSHE,-20.8603,2.1921,3427382290.49,-29418855.19,-2.2
000783.XSHE,16.9717,0.973,159712726331.93,87213956.92,0.27
000785.XSHE,16.4043,1.0548,53596198217.41,288109255.16,1.46
000786.XSHE,11.1382,1.746,30314537810.56,869104899.91,3.88
000788.XSHE,71.2217,2.7987,2467703471.44,14384266.63,1.01
000789.XSHE,42.0822,0.7929999999999999,16633530373.2,53281617.26,0.6
000790.XSHE,87.391,3.0869,2113117786.32,8692457.99,0.61
000791.XSHE,18.0226,1.0201,21617643092.34,353978802.13,3.68
000792.XSHE,9.5407,2.9195,50121338778.69,1000932392.2,1.7
000793.XSHE,-7.3052,2.258,4948301104.95,-57950791.88,-2.96
000795.XSHE,54.4145,2.6705,5111831906.52,31545846.18,0.98
000797.XSHE,255.4182,0.9317,25184635132.37,252175300.17,2.59
000798.XSHE,-51.5502,5.2709,5322586340.99,21285214.14,-4.93
000799.XSHE,42.785,5.646,5455129175.27,56771850.77,1.36
000800.XSHE,27.5129,1.6338,74338437400.22,11070373.79,0.05
000801.XSHE,38.6142,2.7163,6333228601.04,69538702.53,1.94
000802.XSHE,-33.0886,3.7103,3211573646.32,-119931620.28,-7.72
000803.XSHE,228.113,1.9326,5761859453.04,-26692806.3,-1.57
000807.XSHE,12.8027,1.7433,39234323746.38,1181866588.31,4.16
000810.XSHE,32.0407,2.8965,10262788664.49,124634681.52,2.11
000811.XSHE,15.6694,1.9501,11303691943.83,201066208.07,3.71
000812.XSHE,78.3101,2.1757,4427991746.58,-698872.57,-0.21
000813.XSHE,-137.0187,1.3588,5485244306.34,64741032.82,1.33
000815.XSHE,-38.7149,4.1185,2918969679.35,-11468014.17,-0.63
000816.XSHE,-110.3071,2.0079,3563745733.69,21192795.87,0.23
000818.XSHE,152.7155,5.8183,5132772646.73,26207147.22,0.86
000819.XSHE,53.9088,5.1018,1986240960.29,18634074.1,2.06
000820.XSHE,-71.179,35.9988,310317257.43,-8874462.49,-11.61
000821.XSHE,24.7892,2.7456,15845224541.36,58399081.63,1.51
000822.XSHE,8.4432,1.287,7624734618.65,317552714.29,6.92
000823.XSHE,20.5593,1.1545,8529838521.24,73900732.67,1.36
000825.XSHE,-18.458,0.6206,69675221309.05,191291369.0,0.58
000826.XSHE,-3.9345,0.7175,25115904653.73,-55109963.46,-1.31
000828.XSHE,12.9589,1.186,28761949311.45,280748849.39,2.6
000829.XSHE,84.5579,3.2110000000000003,22313977738.25,23163956.3,0.76
000830.XSHE,35.2005,1.1564,35446252946.96,312543673.69,1.9
000831.XSHE,169.6289,9.4493,3629749447.47,80810990.08,2.62
000833.XSHE,268.1754,1.2551,5243328182.0,6939657.14,0.25
000837.XSHE,70.3198,2.2678,9967455715.13,9268630.31,0.1
000838.XSHE,131.612,3.9464,5880651694.84,121344030.03,11.19
000839.XSHE,-9.2867,5.5826,6446663459.27,-51229544.98,-2.02
000848.XSHE,13.2258,2.8533,3484013611.92,128752633.19,4.54
000850.XSHE,27.1721,0.8216,7259437751.92,46623413.67,1.06
000852.XSHE,64.3663,1.9251,9916150594.82,27705086.12,0.75
000856.XSHE,95.7901,5.3846,2108136008.45,-330868.59,-0.06
000858.XSHE,18.4393,4.4576,151803365286.04,6041446117.11,4.86
000859.XSHE,140.1226,1.6558,3746960514.16,-17618199.32,-0.61
000860.XSHE,-15.9018,2.3272,16423134503.68,-211158364.21,-3.07
000861.XSHE,-8.9269,1.5889,8404311029.67,-10640946.16,-0.26
000862.XSHE,40.3868,1.3301,9887246301.37,49165674.52,1.35
000863.XSHE,29.7908,1.0358,6960680535.41,114071951.22,1.66
000868.XSHE,-25.5837,5.0582,3680407357.81,7941320.88,1.02
000869.XSHE,39.8972,1.5605,12990701239.0,59285651.0,0.57
000875.XSHE,13.1509,1.0213,74894825311.25,373879430.6,1.56
000876.XSHE,-16.2235,2.0007,133316384166.68,-945855315.03,-3.52
000877.XSHE,109.5779,0.7263,300470422400.02,-234050555.63,-0.11
000878.XSHE,11.8194,1.5561,38808220611.44,687670758.95,3.7
000880.XSHE,21.8794,1.8436,5293598998.31,47775128.96,2.5
000881.XSHE,-58.9538,1.1056,11565278992.47,3840231.78,0.02
000882.XSHE,-46.4623,0.6601,11894523103.69,20885527.61,0.27
000883.XSHE,26.4271,0.8565,87863055525.98,802322319.23,2.56
000885.XSHE,6.6009,0.9964,28107058578.53,301109248.84,3.97
000886.XSHE,24.1807,1.3467,3326841663.19,3857601.07,0.14
000887.XSHE,14.9458,1.3815,22484412477.58,340296210.45,2.96
000888.XSHE,24.1031,1.8645,3430261990.53,105912147.69,4.69
000890.XSHE,228.0881,662.3926,1595260436.87,-9091912.72,-126.53
000892.XSHE,-35.1624,2.7246,2070859777.99,-4411095.98,-0.13
000893.XSHE,16.2099,2.2194,14516319314.18,274548718.42,2.57
000895.XSHE,15.7319,4.6001,41834081626.04,1510966968.25,7.21
